Name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
Tata Motors Financ...,4.3,(966 Reviews),Private,"Mumbai,Maharashtra + 186 more",64 years old,"1001-5000
						employees
						(Global)"
Ambuja Cements,3.9,(966 Reviews),Public,"Mumbai,Maharashtra + 133 more",38 years old,"1001-5000
						employees
						(Global)"
ADP Solutions,4.2,(964 Reviews),Public,"Roseland,New Jersey + 9 more",72 years old,"1001-5000
						employees
						(India)"
Walmart,4.2,(963 Reviews),Private,"Bentonville,Arkansas + 64 more",59 years old,"5001-10000
						employees
						(India)"
3i Infotech,3.6,(962 Reviews),Public,"Mumbai,Maharashtra + 70 more",28 years old,"5001-10000
						employees
						(Global)"
Videocon d2h,3.9,(959 Reviews),Public,Mumbai + 128 more,12 years old,"501-1000
						employees
						(India)"
Access Healthcare,3.9,(956 Reviews),Private,"Dallas,Texas + 11 more",10 years old,"1001-5000
						employees
						(India)"
Piramal Group,4.0,(953 Reviews),Private,Mumbai + 89 more,41 years old,"1001-5000
						employees
						(India)"
Amara Raja Group,4.2,(950 Reviews),Public,Tirupati + 66 more,36 years old,"10001-50000
						employees
						(India)"
Sapient Corporatio...,3.8,(950 Reviews),Private,Boston + 11 more,31 years old,"5001-10000
						employees
						(India)"
Britannia,4.2,(950 Reviews),Public,Bangalore + 128 more,129 years old,"1001-5000
						employees
						(Global)"
Sobha,4.0,(947 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 29 more",26 years old,"1001-5000
						employees
						(Global)"
Ekart Logistics,4.3,(947 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 260 more",12 years old,"5001-10000
						employees
						(India)"
Taj Hotels Resorts...,4.3,(946 Reviews),"Mumbai,Maharashtra + 60 more",118 years old,"10001-50000
						employees
						(Global)",
IndiGo,3.8,(946 Reviews),Private,"Gurgaon,Haryana + 56 more",15 years old,"10001-50000
						employees
						(India)"
Zensar Technologie...,3.6,(937 Reviews),Public,"Pune,Maharashtra + 13 more",30 years old,"10001-50000
						employees
						(Global)"
JK Tyres,3.8,(933 Reviews),Private,New Delhi + 91 more,70 years old,"1001-5000
						employees
						(India)"
Dalmia Bharat Ceme...,4.1,(930 Reviews),Public,New Delhi + 115 more,82 years old,"50001-100000
						employees
						(Global)"
Karvy Fintech,3.6,(929 Reviews),Hyderabad + 67 more,43 years old,"5001-10000
						employees
						(Global)",
Aon,3.9,(922 Reviews),Private,London + 15 more,39 years old,"10001-50000
						employees
						(India)"
Gabriel India,4.4,(921 Reviews),Public,"Pune,Maharashtra + 29 more",60 years old,"1001-5000
						employees
						(India)"
