Name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
Aegon Life Insuran...,4.0,(173 Reviews),Private,Mumbai + 33 more,14 years old,"1001-5000
						employees
						(Global)"
GGS Information Se...,3.4,(173 Reviews),Private,"York,Pennsylvania + 6 more",33 years old,"501-1000
						employees
						(India)"
Prem Motors,3.9,(173 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",31 years old,"1001-5000
						employees
						(Global)"
SBI Mutual Fund,4.0,(173 Reviews),Private,"Mumbai,Maharashtra + 82 more",34 years old,"1001-5000
						employees
						(India)"
IDEMIA,3.5,(173 Reviews),Private,"Courbevoie,Courbevoie + 15 more",4 years old,"1001-5000
						employees
						(India)"
Insolutions Global,3.6,(173 Reviews),Private,"Mumbai,Maharashtra + 12 more",17 years old,"1001-5000
						employees
						(Global)"
Cyfuture,3.1,(173 Reviews),Noida + 14 more,20 years old,"1001-5000
						employees
						(Global)",
Nephroplus,3.9,(173 Reviews),Hyderabad + 42 more,12 years old,"1001-5000
						employees
						(Global)",
Orchid Chemicals &...,4.2,(172 Reviews),Private,"Chennai,Tamil Nadu + 17 more",29 years old,"1001-5000
						employees
						(Global)"
Uniparts Group,4.0,(172 Reviews),Private,"Noida,Uttar Pradesh + 14 more",37 years old,"1001-5000
						employees
						(Global)"
Kuehne + Nagel,3.9,(172 Reviews),Private,"Schindellegi,Feusisberg + 20 more",131 years old,"1001-5000
						employees
						(India)"
Maxgen Technologie...,4.0,(172 Reviews),Private,"Mumbai,Maharashtra + 5 more",8 years old,"201-500
						employees
						(Global)"
Senco Gold,4.0,(172 Reviews),Private,"Kolkata,West Bengal + 40 more",27 years old,"201-500
						employees
						(Global)"
Madhucon Projects,3.3,(172 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 18 more",38 years old,"501-1000
						employees
						(Global)"
METRO Global Busin...,4.2,(172 Reviews),Public,Pune,10 years old,"501-1000
						employees
						(India)"
S Chand Group,3.9,(172 Reviews),New Delhi + 28 more,82 years old,,
Tetra Pak,4.2,(172 Reviews),Private,Pully + 10 more,70 years old,"1001-5000
						employees
						(India)"
Black Knight,3.1,(171 Reviews),Private,Jackonville,59 years old,"501-1000
						employees
						(India)"
Sun Knowledge,3.8,(171 Reviews),Private,"New York,New York + 1 more",15 years old,"501-1000
						employees
						(Global)"
Bombay Rayon Fashi...,3.8,(171 Reviews),Public,"Mumbai,Maharashtra + 10 more",35 years old,"10001-50000
						employees
						(Global)"
Ashiana Housing,4.3,(171 Reviews),Public,"Delhi/NCR,Delhi + 14 more",42 years old,"1001-5000
						employees
						(Global)"
Powerica,3.9,(171 Reviews),Private,"Mumbai,Maharashtra + 16 more",37 years old,"501-1000
						employees
						(Global)"
Kutchina,3.9,(171 Reviews),Private,"Kolkata,West Bengal + 38 more",18 years old,"11-50
						employees
						(Global)"
S. M. Auto Enginee...,3.5,(171 Reviews),"Pune,Maharashtra + 4 more",45 years old,"1001-5000
						employees
						(Global)",
Smaaash Entertainm...,4.1,(171 Reviews),Private,"Mumbai,Maharashtra + 18 more",12 years old,"501-1000
						employees
						(Global)"
TCG Lifesciences,3.8,(171 Reviews),"Kolkata,West Bengal + 5 more",20 years old,"501-1000
						employees
						(Global)",
Suroj Buildcon,4.1,(171 Reviews),Private,"Pune,Maharashtra + 17 more",8 years old,"501-1000
						employees
						(India)"
Aurigo,4.9,(171 Reviews),Private,"Austin,Texas + 2 more",18 years old,"201-500
						employees
						(India)"
Infor Global Solut...,3.9,(170 Reviews),Private,"Malvern,Pennsylvania + 3 more",19 years old,"51-200
						employees
						(India)"
Ramco Industries,4.3,(170 Reviews),Public,"Chennai,Tamil Nadu + 27 more",29 years old,"1001-5000
						employees
						(Global)"
Fedbank Financial ...,4.0,(170 Reviews),Private,"Mumbai,Maharashtra + 46 more",11 years old,"1001-5000
						employees
						(India)"
Maxi Multiservices,3.2,(170 Reviews),Private,Lucknow + 45 more,6 years old,"201-500
						employees
						(Global)"
Muthoot Pappachan ...,3.9,(170 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 49 more",134 years old,"10001-50000
						employees
						(India)"
MT Educare,3.6,(170 Reviews),Public,"Mumbai,Maharashtra + 18 more",33 years old,"1001-5000
						employees
						(Global)"
Maveric Systems,3.6,(170 Reviews),Public,"Chennai,Tamil Nadu + 3 more",21 years old,"1001-5000
						employees
						(Global)"
Rockwell Automatio...,3.8,(170 Reviews),Private,"Milwaukee,Wisconsin + 14 more",118 years old,"10001-50000
						employees
						(Global)"
India Nippon Elect...,4.1,(169 Reviews),Public,"Hosur,Tamil Nadu + 14 more",37 years old,"501-1000
						employees
						(India)"
Lotte India Corpor...,3.9,(169 Reviews),Public,"Chennai,Tamil Nadu + 38 more",17 years old,"501-1000
						employees
						(Global)"
Amrit Cement,3.8,(169 Reviews),Private,"Kolkata,West Bengal + 11 more",13 years old,"501-1000
						employees
						(Global)"
Cuemath,4.3,(169 Reviews),"Bangalore/Bengaluru,Karnataka + 15 more",8 years old,,
Netafim Irrigation...,4.2,(169 Reviews),Private,"Vadodara/Baroda,Gujarat + 41 more",56 years old,"1001-5000
						employees
						(Global)"
Varuna Integrated ...,3.9,(169 Reviews),Private,"Gurgaon/Gurugram,Haryana + 34 more",25 years old,"1001-5000
						employees
						(Global)"
Samsonite,4.2,(169 Reviews),Private,"Mumbai,Maharashtra + 34 more",111 years old,"201-500
						employees
						(India)"
Rieter,3.6,(169 Reviews),Private,"Khandala,Punjab + 6 more",26 years old,"1001-5000
						employees
						(Global)"
Orix Auto Infrastr...,4.3,(169 Reviews),Public,"Mumbai,Maharashtra + 15 more",26 years old,"201-500
						employees
						(India)"
HomeShop18,4.3,(169 Reviews),Private,"Noida,Uttar Pradesh + 15 more",13 years old,"1001-5000
						employees
						(Global)"
DFM Foods,4.1,(169 Reviews),Public,"Delhi/NCR,New Delhi + 36 more",38 years old,"501-1000
						employees
						(Global)"
CallHealth,3.7,(169 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 13 more",6 years old,"501-1000
						employees
						(Global)"
Aizant Drug Resear...,3.9,(169 Reviews),"Hyderabad/Secunderabad,Telangana + 1 more",16 years old,"501-1000
						employees
						(Global)",
e-Centric Solution...,3.3,(169 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 27 more",19 years old,"1001-5000
						employees
						(Global)"
Alpla,4.0,(169 Reviews),Private,"Hard,Vorarlberg + 7 more",66 years old,"10001-50000
						employees
						(Global)"
Mitsui O.S.K. Line...,4.0,(169 Reviews),Private,"Toranomon,Tokyo + 8 more",137 years old,"5001-10000
						employees
						(Global)"
Hero Cycles,3.8,(169 Reviews),Public,"Gurgaon/Gurugram,Haryana + 25 more",65 years old,"1001-5000
						employees
						(Global)"
Gammon Engineers A...,4.1,(169 Reviews),Mumbai + 26 more,99 years old,"1001-5000
						employees
						(Global)",
Bharat Institution...,4.7,(169 Reviews),"Hyderabad/Secunderabad,Telangana + 2 more","201-500
						employees
						(India)",,
Bharat Aluminium C...,3.9,(168 Reviews),Private,"Delhi/NCR,New Delhi + 9 more",56 years old,"1001-5000
						employees
						(India)"
Bhandari Automobil...,4.0,(168 Reviews),Private,"Midnapore,West Bengal + 16 more",43 years old,"1001-5000
						employees
						(Global)"
American Axle & Ma...,4.2,(168 Reviews),Private,"Detroit,Michigan + 9 more",27 years old,"10001-50000
						employees
						(Global)"
ABCI Infrastructur...,3.3,(168 Reviews),Private,"Kolkata,West Bengal + 29 more",28 years old,"501-1000
						employees
						(Global)"
TOPS,3.9,(168 Reviews),Private,New Delhi + 22 more,37 years old,"201-500
						employees
						(India)"
Myk Laticrete,3.9,(168 Reviews),"Hyderabad/Secunderabad,Telangana + 28 more",21 years old,"1001-5000
						employees
						(Global)",
Metalman Auto,3.9,(168 Reviews),Private,"Gurgaon/Gurugram,Haryana + 14 more",35 years old,"1001-5000
						employees
						(Global)"
UpGrad,3.0,(168 Reviews),Private,"Mumbai,Maharashtra + 11 more",6 years old,"501-1000
						employees
						(Global)"
Mrs Bector's Food ...,4.0,(167 Reviews),Public,Gurgaon + 29 more,43 years old,"1001-5000
						employees
						(Global)"
Globus Stores,4.0,(167 Reviews),Private,"Mumbai,Maharashtra + 32 more",23 years old,"1001-5000
						employees
						(Global)"
M3M India,3.2,(167 Reviews),Private,"Gurgaon/Gurugram,Haryana + 1 more",36 years old,"201-500
						employees
						(India)"
Delhi Metro Rail C...,4.1,(167 Reviews),Public,"Delhi/NCR,New Delhi + 16 more",26 years old,"10001-50000
						employees
						(India)"
Al Ahleia Switchge...,3.8,(167 Reviews),Private,Safat + 5 more,39 years old,"1001-5000
						employees
						(Global)"
Seven Hills Hospit...,3.8,(167 Reviews),Private,"Mumbai,Maharashtra + 8 more",35 years old,"1001-5000
						employees
						(Global)"
Bmm Ispat,3.8,(167 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 6 more",45 years old,"1001-5000
						employees
						(Global)"
Naaptol Online Sho...,3.4,(167 Reviews),"Mumbai,Maharashtra + 16 more",13 years old,"501-1000
						employees
						(Global)",
Navin Fluorine Int...,4.0,(167 Reviews),Public,"Mumbai,Maharashtra + 6 more",54 years old,"201-500
						employees
						(Global)"
The Louis Berger G...,4.3,(167 Reviews),Private,Montreal + 26 more,136 years old,"5001-10000
						employees
						(Global)"
ByteDance,4.4,(167 Reviews),"Shanghai,Shanghai + 10 more",9 years old,"1001-5000
						employees
						(India)",
CEC International,4.6,(167 Reviews),Private,Taipei + 14 more,76 years old,"1001-5000
						employees
						(Global)"
NTT-Netmagic,4.1,(167 Reviews),Private,"Mumbai,Maharashtra + 11 more",23 years old,"1001-5000
						employees
						(Global)"
Jumio,3.8,(167 Reviews),Private,"Palo Alto,California + 2 more",11 years old,"51-200
						employees
						(India)"
Montecarlo Constru...,4.1,(166 Reviews),"Ahmedabad,Gujarat + 34 more",26 years old,"1001-5000
						employees
						(Global)",
NTTF,3.6,(166 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 24 more",58 years old,"501-1000
						employees
						(Global)"
Anthem Biosciences,3.7,(166 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",15 years old,"201-500
						employees
						(Global)"
Carrier,4.0,(166 Reviews),Private,"Charlotte,North Carolina + 29 more",106 years old,"50001-100000
						employees
						(Global)"
Ircon Internationa...,4.3,(166 Reviews),Private,"Delhi/NCR,Delhi + 26 more",45 years old,"1001-5000
						employees
						(Global)"
Sheenlac Paints,3.5,(166 Reviews),Public,"Chennai,Tamil Nadu + 28 more",59 years old,"501-1000
						employees
						(Global)"
Dalmia-OCL,4.0,(166 Reviews),New Delhi + 23 more,5 years old,"501-1000
						employees
						(Global)",
Vertex,3.5,(166 Reviews),Private,"Panchkula,Haryana + 18 more",32 years old,"1001-5000
						employees
						(Global)"
Hitachi Hi-Rel Pow...,3.9,(166 Reviews),Private,"Ahmedabad,Gujarat + 19 more",38 years old,"1001-5000
						employees
						(Global)"
Sears Holdings,3.4,(166 Reviews),Private,"Hoffman Estates,Illinois + 4 more",12 years old,"50001-100000
						employees
						(Global)"
Costa Cruise Lines,4.6,(166 Reviews),Private,Genoa + 7 more,73 years old,"51-200
						employees
						(India)"
Rajasthan Patrika,3.0,(166 Reviews),Private,"Jaipur,Rajasthan + 32 more",65 years old,"1001-5000
						employees
						(Global)"
NTTF,3.6,(166 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 24 more",58 years old,"501-1000
						employees
						(Global)"
Kaynes Technology,3.6,(166 Reviews),Private,Mysore + 8 more,33 years old,"201-500
						employees
						(Global)"
Eastern Condiments,4.1,(166 Reviews),Private,"Idukki,Kerala + 31 more",38 years old,"1001-5000
						employees
						(Global)"
Titan Laboratories,3.8,(166 Reviews),Private,"Mumbai,Maharashtra + 7 more",17 years old,"201-500
						employees
						(India)"
Me n Moms,3.0,(166 Reviews),Private,"Mumbai,Maharashtra + 31 more",27 years old,"501-1000
						employees
						(Global)"
Silver Touch Techn...,3.6,(165 Reviews),Public,"Ahmedabad,Gujarat + 19 more",29 years old,"1001-5000
						employees
						(Global)"
Sri Aurobindo Soci...,3.4,(165 Reviews),"Pondicherry/Puducherry,Tamil Nadu + 11 more",61 years old,"201-500
						employees
						(Global)",
Dusters Total Solu...,4.1,(165 Reviews),"Bangalore/Bengaluru,Karnataka + 27 more",27 years old,"10001-50000
						employees
						(Global)",
Adnoc,4.6,(165 Reviews),Private,"Abu Dhabi,Abu Dhabi + 5 more",50 years old,"1001-5000
						employees
						(India)"
JSW Group,4.1,(165 Reviews),Private,Mumbai + 27 more,39 years old,"50001-100000
						employees
						(India)"
Origo Commodities,3.7,(165 Reviews),Private,"Gurgaon/Gurugram,Haryana + 35 more",11 years old,"1001-5000
						employees
						(Global)"
Star Bazaar,4.4,(165 Reviews),Private,"Mumbai,Maharashtra + 14 more",23 years old,"5001-10000
						employees
						(Global)"
Harsha Engineers,4.3,(165 Reviews),Private,"Ahmedabad,Gujarat + 6 more",35 years old,"1001-5000
						employees
						(Global)"
Indiabulls Real Es...,4.1,(165 Reviews),Public,"Mumbai,Maharashtra + 19 more",15 years old,"1001-5000
						employees
						(Global)"
UnitedLex,3.6,(165 Reviews),Private,"New York,New York + 2 more",15 years old,"501-1000
						employees
						(India)"
ASM Technologies,3.1,(165 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 12 more",29 years old,"501-1000
						employees
						(Global)"
Zolo,3.6,(165 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",6 years old,"501-1000
						employees
						(India)"
1mg,4.1,(165 Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",6 years old,"201-500
						employees
						(India)"
Bharat Seats,3.7,(164 Reviews),Public,"Gurgaon/Gurugram,Haryana + 6 more",35 years old,"201-500
						employees
						(Global)"
Lambda Therapeutic...,3.7,(164 Reviews),Private,Ahmedabad + 3 more,23 years old,"501-1000
						employees
						(Global)"
Etisalat,3.9,(164 Reviews),Public,"Abu Dhabi,Abu Dhabi + 10 more",45 years old,"10001-50000
						employees
						(Global)"
Kellogg Brown and ...,4.2,(164 Reviews),"Houston,Texas + 16 more",23 years old,"10001-50000
						employees
						(Global)",
Drake & Scull Inte...,3.5,(164 Reviews),Private,Dubai + 15 more,140 years old,"10001-50000
						employees
						(Global)"
Gallagher Offshore...,3.9,(164 Reviews),Private,Pune + 4 more,15 years old,"10001-50000
						employees
						(Global)"
Bharat Seats,3.7,(164 Reviews),Public,"Gurgaon/Gurugram,Haryana + 6 more",35 years old,"201-500
						employees
						(Global)"
Parksons Packaging,4.0,(164 Reviews),"Mumbai,Maharashtra + 12 more",25 years old,"1001-5000
						employees
						(India)",
Accord Synergy,3.6,(164 Reviews),Public,"Vadodara/Baroda,Gujrat + 25 more",7 years old,"1001-5000
						employees
						(Global)"
Mirza Internationa...,3.7,(164 Reviews),Public,"Kanpur,Uttar Pradesh + 22 more",42 years old,"5001-10000
						employees
						(Global)"
Amartex Industries,4.5,(164 Reviews),Public,Panchkula + 13 more,33 years old,"1001-5000
						employees
						(Global)"
Reliance AJIO,4.0,(164 Reviews),Bengaluru + 59 more,5 years old,"501-1000
						employees
						(Global)",
ELGI Equipments,4.1,(164 Reviews),Public,"Coimbatore,Tamil Nadu + 18 more",61 years old,"1001-5000
						employees
						(Global)"
Lambda Therapeutic...,3.7,(164 Reviews),Private,Ahmedabad + 3 more,23 years old,"501-1000
						employees
						(Global)"
Etisalat,3.9,(164 Reviews),Public,"Abu Dhabi,Abu Dhabi + 10 more",45 years old,"10001-50000
						employees
						(Global)"
Roche Diagnostics,3.9,(164 Reviews),Private,"Grenzacherstrasse,Basel + 24 more",125 years old,"201-500
						employees
						(India)"
Xceedance,3.7,(164 Reviews),Private,"Boston,Massachusetts + 4 more",8 years old,"1001-5000
						employees
						(India)"
Mahindra Trucks & ...,3.9,(163 Reviews),Private,Pune + 37 more,27 years old,"501-1000
						employees
						(Global)"
Wildcraft,4.1,(163 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 31 more",23 years old,"1001-5000
						employees
						(Global)"
Allanasons,3.7,(163 Reviews),Private,Mumbai + 18 more,156 years old,"5001-10000
						employees
						(Global)"
All India Institut...,4.4,(163 Reviews),Private,New Delhi + 13 more,65 years old,"10001-50000
						employees
						(Global)"
Louis Philippe,4.1,(163 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 42 more",32 years old,"100001+
						employees
						(Global)"
Dana India,4.2,(163 Reviews),"Pune,Maharashtra + 10 more",6 years old,"501-1000
						employees
						(India)",
Shriram Chits,3.8,(163 Reviews),Private,"Mumbai,Maharashtra + 56 more",47 years old,"1001-5000
						employees
						(Global)"
Petrofac Engineeri...,3.6,(163 Reviews),Private,London + 9 more,18 years old,"1001-5000
						employees
						(India)"
BT E Serv,4.1,(163 Reviews),"Delhi/NCR,New Delhi + 3 more",14 years old,"51-200
						employees
						(Global)",
Ashapura Group Of ...,4.2,(163 Reviews),Public,"Mumbai,Maharashtra + 21 more",61 years old,"1001-5000
						employees
						(Global)"
Astra Microwave Pr...,4.1,(163 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 4 more",30 years old,"501-1000
						employees
						(Global)"
Yodlee,3.3,(163 Reviews),Private,"Redwood City,San Francisco + 2 more",22 years old,"1001-5000
						employees
						(Global)"
Kyungshin Industri...,3.2,(163 Reviews),Chennai + 5 more,24 years old,"51-200
						employees
						(Global)",
Axiscades Engineer...,3.1,(163 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 6 more",31 years old,"1001-5000
						employees
						(Global)"
Continental Engine...,4.0,(163 Reviews),Private,New Delhi + 17 more,38 years old,"1001-5000
						employees
						(Global)"
Yokohama,4.0,(163 Reviews),Private,Tokyo + 21 more,104 years old,"201-500
						employees
						(India)"
Schwing Stetter,4.2,(163 Reviews),Private,Herne + 32 more,76 years old,"1001-5000
						employees
						(Global)"
Maharashtra Hybrid...,4.1,(163 Reviews),"Jalna,Maharashtra + 36 more",57 years old,"1001-5000
						employees
						(Global)",
Dr. Agarwal's Eye ...,3.8,(163 Reviews),Public,"Chennai,Tamil Nadu + 24 more",71 years old,"1001-5000
						employees
						(Global)"
Bosch Rexroth Indi...,4.4,(163 Reviews),Private,"Lohr A. Main,Bavaria + 11 more",46 years old,"501-1000
						employees
						(India)"
FMC,4.4,(162 Reviews),Private,Philadelphia + 45 more,12 years old,"501-1000
						employees
						(India)"
National Fertilize...,4.2,(162 Reviews),Public,Noida + 18 more,47 years old,"1001-5000
						employees
						(Global)"
Eisai Pharmaceutic...,4.2,(162 Reviews),Public,"Visakhapatnam/Vizag,Andhra Pradesh + 9 more",80 years old,"201-500
						employees
						(India)"
Healthcare At Home,4.0,(162 Reviews),Private,"Noida,Uttar Pradesh + 21 more",9 years old,"1001-5000
						employees
						(India)"
Amber Enterprises ...,4.2,(162 Reviews),Public,"Gurgaon/Gurugram,Haryana + 11 more",27 years old,"501-1000
						employees
						(Global)"
Moody's Analytics,3.5,(162 Reviews),Private,"New York,New York + 4 more",14 years old,"501-1000
						employees
						(India)"
Ruby Hall Clinic,4.1,(162 Reviews),Pune + 4 more,62 years old,"1001-5000
						employees
						(Global)",
Capital Foods,4.1,(162 Reviews),Private,Mumbai + 33 more,25 years old,"1001-5000
						employees
						(Global)"
Army Medical Corps,4.6,(162 Reviews),Govt Organisation,"Delhi/NCR,Delhi + 27 more",257 years old,"10000+
						employees
						(Global)"
Bhilai Engineering...,3.9,(162 Reviews),Public,"Bhilai/Bhillai,Chhattisgarh + 18 more",61 years old,"501-1000
						employees
						(Global)"
Brigade Group,4.2,(162 Reviews),"Bangalore/Bengaluru,Karnataka + 7 more",35 years old,"501-1000
						employees
						(India)",
Kuwait Oil Company,4.6,(162 Reviews),Ahmadi + 8 more,87 years old,"5001-10000
						employees
						(Global)",
Checkmate Services,4.2,(162 Reviews),Private,"Vadodara/Baroda,Gujrat + 43 more",29 years old,"10001-50000
						employees
						(Global)"
Cosmo Films,4.2,(162 Reviews),Public,"Delhi/NCR,New Delhi + 5 more",40 years old,"501-1000
						employees
						(Global)"
Rebel Foods,3.5,(162 Reviews),Private,"Mumbai,Maharashtra + 25 more",10 years old,"5001-10000
						employees
						(Global)"
Trigent Software,3.8,(162 Reviews),Private,"Southborough,Massachusetts + 12 more",26 years old,"501-1000
						employees
						(India)"
Arabtec Constructi...,4.4,(161 Reviews),Private,"Dubai,Dubai + 11 more",46 years old,"10001-50000
						employees
						(Global)"
TNT Express,4.4,(161 Reviews),Private,"Hoofddorp,North Holand + 26 more",75 years old,"100001+
						employees
						(Global)"
Owens Corning,4.2,(161 Reviews),Private,"Toledo,Ohio + 6 more",83 years old,"1001-5000
						employees
						(India)"
Kokuyo Camlin,4.1,(161 Reviews),Public,"Mumbai,Maharashtra + 34 more",90 years old,"501-1000
						employees
						(Global)"
Vayam Info Solutio...,4.1,(161 Reviews),Noida + 20 more,11 years old,"201-500
						employees
						(Global)",
iOPEX Technologies,3.5,(161 Reviews),Private,"San Jose,California + 8 more",15 years old,"1001-5000
						employees
						(India)"
T-Systems,3.7,(161 Reviews),Frankfurt + 4 more,12 years old,"1001-5000
						employees
						(India)",
Frigorifico Allana,4.2,(161 Reviews),Private,"Mumbai,Maharashtra + 17 more",35 years old,"5001-10000
						employees
						(Global)"
Total,3.6,(161 Reviews),Private,Paris + 24 more,97 years old,"100001+
						employees
						(Global)"
Tally Solutions,4.5,(161 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 41 more",35 years old,"501-1000
						employees
						(Global)"
Mukand,3.7,(161 Reviews),Public,"Mumbai,Maharashtra + 12 more",84 years old,"1001-5000
						employees
						(Global)"
Liberty General In...,4.0,(161 Reviews),Private,"Mumbai,Maharashtra + 46 more",11 years old,"1001-5000
						employees
						(Global)"
Gokaldas Exports,4.2,(161 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 11 more",42 years old,"10001-50000
						employees
						(Global)"
Joyalukkas,4.3,(161 Reviews),Dubai + 45 more,34 years old,"201-500
						employees
						(India)",
IFFCO Kisan Sancha...,3.8,(161 Reviews),Private,"Delhi/NCR,Delhi + 37 more",14 years old,"501-1000
						employees
						(Global)"
Somic ZF Component...,4.0,(160 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",26 years old,"1001-5000
						employees
						(Global)"
Mfar Constructions,3.9,(160 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 9 more",25 years old,"501-1000
						employees
						(Global)"
Walchandnagar Indu...,3.8,(160 Reviews),Public,"Mumbai,Maharashtra + 7 more",113 years old,"1001-5000
						employees
						(Global)"
Sunflag Iron and S...,4.1,(160 Reviews),Private,"Nagpur,Maharashtra + 12 more",37 years old,"1001-5000
						employees
						(Global)"
Mayoor School,4.9,(160 Reviews),"Noida,Uttar Pradesh + 5 more",18 years old,"1001-5000
						employees
						(Global)",
Suraksha Diagnosti...,3.1,(160 Reviews),Private,"Kolkata,West Bengal + 13 more",29 years old,"501-1000
						employees
						(Global)"
Petron Engineering...,4.2,(160 Reviews),Public,"Mumbai,Maharashtra + 25 more",45 years old,"1001-5000
						employees
						(Global)"
Intercontinental C...,4.0,(160 Reviews),Private,"Delhi/NCR,New Delhi + 33 more",34 years old,"1001-5000
						employees
						(Global)"
Essar Power,4.4,(160 Reviews),Public,"Mumbai,Maharashtra + 14 more",52 years old,"5001-10000
						employees
						(Global)"
Cargill Business S...,4.0,(160 Reviews),Gurugram + 5 more,6 years old,"10001-50000
						employees
						(Global)",
Kailash Hospital,4.0,(160 Reviews),Noida + 10 more,37 years old,"5001-10000
						employees
						(Global)",
Wipro GE Health Ca...,4.0,(160 Reviews),Chicago + 25 more,129 years old,"201-500
						employees
						(India)",
Kennametal,4.0,(160 Reviews),Public,"Latrobe,Pennsylvania + 5 more",83 years old,"10001-50000
						employees
						(Global)"
Subway,4.4,(160 Reviews),Private,"Milford,Connecticut + 40 more",56 years old,"5001-10000
						employees
						(Global)"
Exotic Learning,5.0,(160 Reviews),Lucknow + 4 more,,,
RealPage,3.7,(160 Reviews),Private,"Richardson,Texas + 1 more",23 years old,"1001-5000
						employees
						(India)"
Gujarat Ambuja Exp...,3.9,(160 Reviews),Public,"Ahmedabad,Gujarat + 19 more",30 years old,"1001-5000
						employees
						(Global)"
BDO India LLP,3.7,(160 Reviews),New Delhi + 13 more,48 years old,"1001-5000
						employees
						(Global)",
Tractebel,3.9,(160 Reviews),Private,"Chakkarpur,Haryana + 24 more",159 years old,"501-1000
						employees
						(India)"
Bharat Dynamics,4.4,(159 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 1 more",51 years old,"1001-5000
						employees
						(Global)"
Overnite Express,3.6,(159 Reviews),Private,"Delhi/NCR,Delhi + 34 more",34 years old,"1001-5000
						employees
						(Global)"
BPTP,3.7,(159 Reviews),Private,"Gurgaon/Gurugram,Haryana + 5 more",18 years old,"501-1000
						employees
						(Global)"
Xdbs,3.3,(159 Reviews),"Redwood City,San Francisco + 2 more",9 years old,"1001-5000
						employees
						(India)",
Indian Institute o...,4.4,(159 Reviews),Private,"Gandhinagar,Gujarat + 22 more",13 years old,"1001-5000
						employees
						(Global)"
Zoho,4.2,(159 Reviews),Private,"Chennai,Tamil Nadu + 1 more",25 years old,"5001-10000
						employees
						(Global)"
Psp Projects,4.1,(159 Reviews),Private,"Ahmedabad,Gujarat + 9 more",13 years old,"1001-5000
						employees
						(Global)"
Weblink In,3.8,(159 Reviews),Private,"New Delhi,Delhi + 3 more",24 years old,"1001-5000
						employees
						(Global)"
63 Moons Technolog...,3.9,(159 Reviews),Public,"Mumbai,Maharashtra + 11 more",26 years old,"501-1000
						employees
						(Global)"
Saudi Oger,4.4,(159 Reviews),Private,Riyadh + 14 more,43 years old,"10001-50000
						employees
						(Global)"
Kirby Building Sys...,3.9,(159 Reviews),Private,Kuwait City + 19 more,23 years old,"1001-5000
						employees
						(Global)"
Nitco,4.1,(159 Reviews),Public,"Mumbai,Maharashtra + 31 more",68 years old,"1001-5000
						employees
						(Global)"
Polybond India,3.5,(159 Reviews),Private,"Pune,Maharashtra + 5 more",43 years old,"501-1000
						employees
						(Global)"
Zamil Air Conditio...,4.0,(159 Reviews),Private,Dammam + 16 more,47 years old,"1001-5000
						employees
						(Global)"
Mott MacDonald,3.9,(159 Reviews),"Croydon,Surrey + 20 more",119 years old,"1001-5000
						employees
						(India)",
ISS SDB Security S...,4.0,(159 Reviews),Private,Mumbai + 36 more,11 years old,"100001+
						employees
						(Global)"
Aeronautical Devel...,4.1,(159 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",37 years old,"1001-5000
						employees
						(Global)"
Tata BlueScope Ste...,4.1,(159 Reviews),Private,"Pune,Maharashtra + 17 more",19 years old,"1001-5000
						employees
						(Global)"
JM Financial,4.1,(159 Reviews),Public,"Mumbai,Maharashtra + 29 more",37 years old,"51-200
						employees
						(India)"
DHL Global Forward...,4.0,(159 Reviews),Private,Bonn + 15 more,206 years old,"1001-5000
						employees
						(India)"
Amentum,4.5,(159 Reviews),Dubai + 16 more,,,
Kirloskar Electric...,3.6,(159 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 18 more",75 years old,"1001-5000
						employees
						(Global)"
Tops Security,3.0,(158 Reviews),Private,"Mumbai,Maharashtra + 24 more",51 years old,"100001+
						employees
						(Global)"
Astral Polytechnik,4.2,(158 Reviews),Public,"Ahmedabad,Gujarat + 33 more",25 years old,"1001-5000
						employees
						(Global)"
Rinder India,3.9,(158 Reviews),Private,"Pune,Maharashtra + 7 more",24 years old,"501-1000
						employees
						(Global)"
Onicra Credit Rati...,3.1,(158 Reviews),Public,"Delhi/NCR,New Delhi + 34 more",28 years old,"1001-5000
						employees
						(Global)"
